,Classifier,Preprocessing,Noise,Training_Time_in_sec,Accuracy,Top_2_accuracy,Top_3_accuracy,Top_5_accuracy,Top_10_accuracy,Precision,Recall
random_forest_binary_10,random_forest,binary,10,684.2775059,0.182567727,0.341578327,0.477031802,0.567726737,0.683156655,0.182567727,0.182567727
random_forest_binary_100,random_forest,binary,100,683.819777,0.182567727,0.341578327,0.477031802,0.567726737,0.679623086,0.182567727,0.182567727
random_forest_binary_1000,random_forest,binary,1000,679.042912,0.182567727,0.341578327,0.477031802,0.567726737,0.689045936,0.182567727,0.182567727
svm_clr_0,svm,clr,0,85.72548366,0.844522968,0.911660777,0.93639576,0.952885748,0.971731449,0.787985866,0.787985866
svm_clr_1e-10,svm,clr,1.00E-10,86.46733522,0.845700824,0.912838634,0.93639576,0.951707892,0.970553592,0.787985866,0.787985866
svm_clr_1e-09,svm,clr,1.00E-09,85.85695887,0.846878681,0.911660777,0.935217903,0.949352179,0.96819788,0.787985866,0.787985866
svm_clr_1e-08,svm,clr,1.00E-08,85.57673097,0.848056537,0.909305065,0.935217903,0.951707892,0.967020024,0.787985866,0.787985866
svm_clr_1e-07,svm,clr,1.00E-07,84.85105801,0.845700824,0.911660777,0.931684335,0.951707892,0.96819788,0.787985866,0.787985866
svm_clr_1e-06,svm,clr,1.00E-06,86.03995895,0.848056537,0.906949352,0.937573616,0.952885748,0.971731449,0.787985866,0.787985866
svm_clr_1e-05,svm,clr,1.00E-05,85.53671193,0.845700824,0.909305065,0.932862191,0.951707892,0.970553592,0.787985866,0.787985866
svm_clr_0.0001,svm,clr,0.0001,86.31247902,0.845700824,0.909305065,0.934040047,0.951707892,0.967020024,0.787985866,0.787985866
svm_clr_0.001,svm,clr,0.001,85.04728699,0.845700824,0.912838634,0.935217903,0.951707892,0.971731449,0.787985866,0.787985866
svm_clr_0.01,svm,clr,0.01,86.39956188,0.848056537,0.909305065,0.93639576,0.951707892,0.970553592,0.787985866,0.787985866
svm_clr_0.1,svm,clr,0.1,85.41016078,0.843345112,0.912838634,0.932862191,0.949352179,0.970553592,0.787985866,0.787985866
svm_clr_1,svm,clr,1,100.1887491,0.835100118,0.906949352,0.930506478,0.948174323,0.96819788,0.776207303,0.776207303
svm_clr_10,svm,clr,10,295.315001,0.433451119,0.619552415,0.697290931,0.771495878,0.869257951,0.412249706,0.412249706
svm_clr_100,svm,clr,100,327.538053,0.182567727,0.341578327,0.477031802,0.567726737,0.689045936,0.182567727,0.182567727
svm_clr_1000,svm,clr,1000,328.6996741,0.182567727,0.341578327,0.477031802,0.567726737,0.68786808,0.182567727,0.182567727
